name,width,height,nonblack_pct,bright_pct,corner_mean,status,notes
asteroids,1920,1080,0.984,0.516,4.78,PASS,
donkey_kong,1920,1080,4.243,1.958,5.65,PASS,
tetris,1920,1080,22.338,2.035,18.53,PASS,
bomberman,1920,1080,10.614,7.324,0.00,PASS,
breakout,1920,1080,3.520,1.277,5.85,PASS,
bubble_bobble,1920,1080,4.459,2.109,5.59,PASS,
qbert,1920,1080,3.662,1.629,4.42,PASS,
burger_time,1920,1080,5.913,2.541,4.18,PASS,
centipede,1920,1080,3.647,2.288,4.18,PASS,
paperboy,1920,1080,17.889,0.911,4.18,PASS,
dig_dug,1920,1080,15.998,1.404,5.62,PASS,
gauntlet,1920,1080,1.577,0.955,5.23,PASS,
tron,1920,1080,0.775,0.602,4.53,PASS,
lunar_lander,1920,1080,0.989,0.592,4.02,PASS,
marble_madness,1920,1080,2.004,0.994,5.81,PASS,
pacman,1920,1080,99.974,50.822,27.91,PASS,
missile_command,1920,1080,1.188,0.593,5.42,PASS,
defender,1920,1080,1.694,0.804,5.40,PASS,
space_invaders,1920,1080,3.701,1.864,5.40,PASS,
joust,1920,1080,4.494,2.031,5.40,PASS,
snake,1920,1080,0.933,0.704,5.40,PASS,
tapper,1920,1080,2.830,1.343,5.40,PASS,
tempest,1920,1080,2.787,1.308,5.40,PASS,
on_track,1920,1080,59.206,0.293,19.17,PASS,
pong,1920,1080,1.139,0.660,4.84,PASS,
frogger,1920,1080,1.107,0.231,5.68,PASS,
robotron_2084,1920,1080,2.214,1.262,5.62,PASS,
smash_tv,1920,1080,1.222,0.844,5.89,PASS,
galaga,1920,1080,4.239,2.180,4.54,PASS,
battlezone,1920,1080,0.626,0.422,4.66,PASS,
